"","X","year","family","height","R8","planting","flower","maturity","lodging","yield","protein","oil","size"
"DS11-02036",28501.5,2012.25,2,104,131.7,519.333333333333,702.2,928.9,1.98,3460.33333333333,32.5333333333333,19.4833333333333,14.4333333333333
"DS11-02037",28502.5,2012.25,2,103.9,131.4,519.333333333333,700.4,928.6,1.96,3572,33.0666666666667,19.7333333333333,16.8166666666667
"DS11-02038",28503.5,2012.25,2,103.7,129.2,519.333333333333,703.6,926.4,1.86,3690.58333333333,34.9,18.7666666666667,16.7833333333333
"DS11-02039",28504.5,2012.25,2,103.1,130.777777777778,519.333333333333,702.2,928.333333333333,1.96,4025.41666666667,34.1,19.1666666666667,15.7
"DS11-02040",28505.5,2012.25,2,105.5,130.777777777778,519.333333333333,700,928.333333333333,1.96,4008.83333333333,34.4166666666667,19.05,15.5166666666667
"DS11-02042",28506.5,2012.25,2,90.4,125.3,519.333333333333,699,922.5,1.46,3629.5,33.1833333333333,19.3166666666667,15.6166666666667
"DS11-02043",28507.5,2012.25,2,98.5,128.7,519.333333333333,701,925.9,1.81,3859.91666666667,33.95,19.6333333333333,15.0666666666667
"DS11-02044",28508.5,2012.25,2,102.8,127.444444444444,519.333333333333,700.8,925,1.61,3906.41666666667,33.2666666666667,20.2833333333333,17.9666666666667
"DS11-02045",29049.5,2012.16666666667,2,108.909090909091,134.818181818182,519.25,701.8,931,1.89090909090909,4103.58333333333,34.3166666666667,19.0166666666667,15.1666666666667
"DS11-02046",29050.5,2012.16666666667,2,114.181818181818,135.636363636364,519.25,701,931.818181818182,2.38181818181818,4198.75,34.6333333333333,18.7,16.15
"DS11-02047",29051.5,2012.16666666667,2,99.7272727272727,133.636363636364,519.25,704,929.818181818182,1.72727272727273,3862.58333333333,33.6,19.1166666666667,16.3666666666667
"DS11-02049",29052.5,2012.16666666667,2,94,131.818181818182,519.25,704.8,928,1.64545454545455,3854.66666666667,34.1166666666667,19.1833333333333,17.4
"DS11-02051",29053.5,2012.16666666667,2,99.9090909090909,134.2,519.25,705.2,930.6,2.36363636363636,4134,33.25,19.3833333333333,17.3
"DS11-02053",29054.5,2012.16666666667,2,110.181818181818,132.7,519.25,702.8,929.1,2.10909090909091,3878.58333333333,34.35,19,15.6666666666667
"DS11-02054",29055.5,2012.16666666667,2,111.272727272727,136.727272727273,519.25,706,932.909090909091,3.06363636363636,3559.25,33.8166666666667,18.9,16.9166666666667
"DS11-02055",29056.5,2012.16666666667,2,109.545454545455,132.3,519.25,702.2,928.7,2.18181818181818,3974.16666666667,34.55,18.8333333333333,15.6833333333333
"DS11-02056",29057.5,2012.16666666667,2,105.545454545455,134.5,519.25,701,928.2,1.88181818181818,4218.5,34.2666666666667,19.1333333333333,15.6
"DS11-02057",29058.5,2012.16666666667,2,105.454545454545,133.181818181818,519.25,703.8,929.363636363636,2.36363636363636,3510.75,32.9166666666667,19.9666666666667,15.8333333333333
"DS11-02059",29059.5,2012.16666666667,2,102.818181818182,128,519.25,705,924.181818181818,1.8,3737.66666666667,34.2333333333333,19.6,16.8166666666667
"DS11-02060",29060.5,2012.16666666667,2,107.636363636364,132.6,519.25,702.6,929,1.94545454545455,4117,34.5333333333333,18.8166666666667,15.7833333333333
"DS11-02061",29061.5,2012.16666666667,2,104.090909090909,134.454545454545,519.25,706.6,930.636363636364,1.50909090909091,3865,32.8,19.9833333333333,14.6166666666667
"DS11-02063",29062.5,2012.16666666667,2,99.6363636363636,133.9,519.25,699.4,930.3,1.95454545454545,4067.33333333333,32.55,19.5333333333333,16.4666666666667
"DS11-02064",29063.5,2012.16666666667,2,104.090909090909,132,519.25,701.2,925.7,2.25454545454545,3622.16666666667,36,18.6,16.6333333333333
"DS11-02065",29064.5,2012.16666666667,2,93.4545454545455,132.2,519.25,702,928.6,1.48181818181818,4132.33333333333,33.9333333333333,19.5333333333333,16.7
"DS11-02066",29065.5,2012.16666666667,2,120.727272727273,131.454545454545,519.25,702.6,927.636363636364,2.11818181818182,3896.16666666667,33.4,19.2,14.8833333333333
"DS11-02067",29066.5,2012.16666666667,2,112,133.3,519.25,702.4,929.7,2.13636363636364,4211.75,34.3833333333333,18.6833333333333,15.5833333333333
"DS11-02068",29067.5,2012.16666666667,2,113.545454545455,136.363636363636,519.25,701.2,932.545454545455,2.29090909090909,4169,34.9,18.3666666666667,15.9333333333333
"DS11-02069",29068.5,2012.16666666667,2,97.5454545454545,133.1,519.25,703.4,929.5,2.45454545454545,4051.58333333333,33.8666666666667,19.6833333333333,16.8
"DS11-02070",29069.5,2012.16666666667,2,110.090909090909,136.727272727273,519.25,703,932.909090909091,2.38181818181818,4098.33333333333,33.75,18.5333333333333,15.1
"DS11-02071",29070.5,2012.16666666667,2,99.6363636363636,131.909090909091,519.25,703.2,928.090909090909,2.18181818181818,3693.83333333333,32.8166666666667,20.3333333333333,15.8666666666667
"DS11-02072",29071.5,2012.16666666667,2,110.363636363636,133.6,519.25,700.8,930,2.01818181818182,4113.83333333333,34.5666666666667,18.8,15.4166666666667
"DS11-02073",29072.5,2012.16666666667,2,109.636363636364,133.818181818182,519.25,701.4,930,2.2,4265.41666666667,34.5333333333333,18.9166666666667,15.5166666666667
"DS11-02074",29073.5,2012.16666666667,2,109.363636363636,134.818181818182,519.25,701.8,931,2.27272727272727,4086.66666666667,34.7333333333333,18.7833333333333,15.85
"DS11-02075",29074.5,2012.16666666667,2,115.727272727273,133.2,519.25,702.6,929.6,2.13636363636364,4253,34.0333333333333,19.1333333333333,15.6333333333333
"DS11-02076",29075.5,2012.16666666667,2,113.818181818182,134.333333333333,519.25,699.6,928,2.04545454545455,4071,34.7333333333333,18.75,15.6
"DS11-02078",29076.5,2012.16666666667,2,98.2727272727273,131.7,519.25,701.6,928.1,1.8,4046.33333333333,33.15,19.3333333333333,15.2833333333333
"DS11-02079",29077.5,2012.16666666667,2,111.090909090909,134,519.25,702.8,930.181818181818,2.13636363636364,4292.41666666667,34.5833333333333,18.5666666666667,15.65
"DS11-02080",29078.5,2012.16666666667,2,116,137.272727272727,519.25,704.2,933.454545454545,2.09090909090909,3944.25,34.65,18.7666666666667,14.8
"DS11-02081",29079.5,2012.16666666667,2,110.636363636364,137.4,519.25,702,931.1,2,4215.5,34.9,18.7166666666667,15.7833333333333
"DS11-02083",29080.5,2012.16666666667,2,110.454545454545,134.636363636364,519.25,700.8,930.818181818182,2.15454545454545,4020.66666666667,34.1666666666667,18.9833333333333,15.5666666666667
"DS11-02084",29081.5,2012.16666666667,2,99.1818181818182,126,519.25,699.6,922.4,2.04545454545455,3939,33.3833333333333,19.55,17.2
"DS11-02086",29082.5,2012.16666666667,2,91.8181818181818,131.909090909091,519.25,702.8,928.090909090909,1.28181818181818,3995.91666666667,33.7833333333333,20.0833333333333,18.35
"DS11-02089",29083.5,2012.16666666667,2,98.0909090909091,131.3,519.25,704.8,927.7,1.64545454545455,4103.75,34.35,18.6166666666667,16.4333333333333
"DS11-02091",22462,2012.375,2,108.285714285714,135.666666666667,519.5,702.6,932.5,2.04285714285714,3580.375,33.225,19.85,14.325
"DS11-02093",22463,2012.375,2,120.285714285714,136.142857142857,519.5,704.2,932.571428571429,2.82857142857143,3695.25,32.725,19.25,15.625
"DS11-02094",22464,2012.375,2,107,135.428571428571,519.5,701,931.857142857143,2.3,3626.125,34.325,19.05,15.1
"DS11-02095",22465,2012.375,2,101.285714285714,135.428571428571,519.5,703.8,931.857142857143,2.04285714285714,3970.5,31.7,20.35,15.3
"DS11-02096",22466,2012.375,2,109.714285714286,136.285714285714,519.5,701.4,932.714285714286,2.35714285714286,3883,34.5,18.925,15.35
"DS11-02098",22467,2012.375,2,99,135.285714285714,519.5,701.6,931.714285714286,1.85714285714286,3851.875,33.65,19.1,16.15
"DS11-02099",22468,2012.375,2,98.7142857142857,133.857142857143,519.5,704.8,930.285714285714,2.04285714285714,3394.875,33.975,19.075,13.575
"DS11-02102",28845.6363636364,2012.45454545455,2,106.333333333333,134.857142857143,518.545454545455,698.5,931.285714285714,1.9125,3814.54545454545,34.55,18.7,15.175
"DS11-02103",28846.6363636364,2012.45454545455,2,109.222222222222,133.6,518.545454545455,698.166666666667,929,2.03333333333333,3895.81818181818,34.2,18.95,15.425
"DS11-02106",28847.6363636364,2012.45454545455,2,109.666666666667,133.6,518.545454545455,697.666666666667,929,2.42222222222222,3880.81818181818,34.425,18.875,15.325
"DS11-02107",28848.6363636364,2012.45454545455,2,106.555555555556,133.6,518.545454545455,699.5,929,2.27777777777778,4009.54545454545,34.7,18.75,15.25
"DS11-02108",28849.6363636364,2012.45454545455,2,99.1111111111111,130.6,518.545454545455,697.666666666667,926,2.03333333333333,3839.4,33.875,19.375,16.85
"DS11-02110",28850.6363636364,2012.45454545455,2,110.777777777778,134.7,518.545454545455,697.5,930.1,2.36666666666667,4159.45454545455,34.425,18.95,15.325
"DS11-02112",28851.6363636364,2012.45454545455,2,107,132.7,518.545454545455,697.5,928.1,2.17777777777778,3872.18181818182,34.4,19.025,15.275
"DS11-02113",28852.6363636364,2012.45454545455,2,90.5555555555556,129.111111111111,518.545454545455,699.166666666667,924.777777777778,1.64444444444444,3818.27272727273,34.275,18.8,14.075
"DS11-02114",28853.6363636364,2012.45454545455,2,108,135.25,518.545454545455,698.5,931.25,2.0125,3937.54545454545,34.5,18.7,15.375
"DS11-02115",28854.6363636364,2012.45454545455,2,96.3333333333333,130.6,518.545454545455,699.5,926,1.78888888888889,3934.63636363636,35.3,18.775,16.725
"DS11-02117",28855.6363636364,2012.45454545455,2,110.888888888889,133.111111111111,518.545454545455,698.333333333333,928.777777777778,2.36666666666667,3930.36363636364,34.575,18.7,15.325
"DS11-02118",28856.6363636364,2012.45454545455,2,101.888888888889,132.111111111111,518.545454545455,700.5,927.777777777778,1.5125,3682.27272727273,34.65,18.85,16.425
"DS11-02119",28857.6363636364,2012.45454545455,2,108,134.111111111111,518.545454545455,698.833333333333,929.777777777778,1.825,3682,34.8,18.7,15.275
"DS11-02120",28858.6363636364,2012.45454545455,2,100.777777777778,129.6,518.545454545455,698.666666666667,925,1.97777777777778,3895.90909090909,34.4,19.85,16.375
"DS11-02121",28859.6363636364,2012.45454545455,2,93.3333333333333,134.1,518.545454545455,699,929.5,1.81111111111111,3924.72727272727,35.7,18.3,15.375
"DS11-02122",28860.6363636364,2012.45454545455,2,107.777777777778,129.222222222222,518.545454545455,699,924.888888888889,2.27777777777778,4123.09090909091,34.775,18.675,15.375
