"","X","year","family","height","R8","planting","flower","maturity","lodging","yield","protein","oil","size"
"DS11-12023",30147.0833333333,2012.16666666667,12,84.7,123.545454545455,519.666666666667,699.8,920.090909090909,1.36,4016.5,31.84,20.46,15.92
"DS11-12025",30148.0833333333,2012.16666666667,12,93.5,122.545454545455,519.666666666667,699.8,919.090909090909,1.6,4021.41666666667,32.32,20.54,15.02
"DS11-12027",30149.0833333333,2012.16666666667,12,88.6,121.545454545455,519.666666666667,699.2,918.090909090909,1.33,3863.83333333333,32.1,20.64,17.54
"DS11-12028",28905.8461538462,2012.23076923077,12,93.1818181818182,123.545454545455,519.538461538462,697.333333333333,920.818181818182,2.81818181818182,4151.15384615385,31.58,20.52,16.88
"DS11-12029",30150.0833333333,2012.16666666667,12,90.3,123.181818181818,519.666666666667,699.4,919.727272727273,1.51,4026,32.48,20.46,15.74
"DS11-12030",30151.0833333333,2012.16666666667,12,95.2,121.636363636364,519.666666666667,699.4,918.181818181818,1.76,3530.5,33.32,19.98,16.16
"DS11-12031",30152.0833333333,2012.16666666667,12,108.6,126.9,519.666666666667,703.6,923.7,1.56,3616,33.06,19.76,17.66
"DS11-12032",30153.0833333333,2012.16666666667,12,95.4,123,519.666666666667,697.6,919.8,2.25,3520.91666666667,33.24,20.64,17.3
"DS11-12033",30154.0833333333,2012.16666666667,12,83.4,118.545454545455,519.666666666667,700.75,915.090909090909,1.26,3830.66666666667,32.34,20.36,16
"DS11-12034",30155.0833333333,2012.16666666667,12,85,117.636363636364,519.666666666667,698.4,914.181818181818,1.16,3824.5,33.08,20.84,16.64
"DS11-12035",28906.8461538462,2012.23076923077,12,84.5454545454545,122.363636363636,519.538461538462,698.666666666667,919.636363636364,1.86363636363636,4207.07692307692,33.58,20.54,14.26
"DS11-12036",30156.0833333333,2012.16666666667,12,99.7,122.727272727273,519.666666666667,699,919.272727272727,2.16,3751.91666666667,33.62,19.82,16.28
"DS11-12038",30157.0833333333,2012.16666666667,12,98.7,123.090909090909,519.666666666667,698.8,919.636363636364,1.6,3839.66666666667,32.66,21.5,16.38
"DS11-12040",28907.8461538462,2012.23076923077,12,97.1818181818182,122.090909090909,519.538461538462,697,919.363636363636,2.45454545454545,3822.76923076923,32.98,20.3,16.7
"DS11-12041",30158.0833333333,2012.16666666667,12,88.6,120.3,519.666666666667,700,917.1,1.36,3949.16666666667,32.1,20.34,16.24
"DS11-12042",28908.8461538462,2012.23076923077,12,110.818181818182,128.272727272727,519.538461538462,699.333333333333,925.545454545455,2.35454545454545,3756.46153846154,34.28,19.98,15.8
"DS11-12043",28909.8461538462,2012.23076923077,12,88.9090909090909,122.1,519.538461538462,698.666666666667,919.7,1.5,4037.38461538462,32.36,20.48,15.82
"DS11-12044",28910.8461538462,2012.23076923077,12,91.6363636363636,120.4,519.538461538462,696.166666666667,918,1.68181818181818,4043.07692307692,31.82,19.7,14.96
"DS11-12045",30159.0833333333,2012.16666666667,12,77.1,120.454545454545,519.666666666667,698.2,917,1.16,3671.41666666667,32.14,20.9,17.14
"DS11-12046",28911.8461538462,2012.23076923077,12,101.818181818182,124.636363636364,519.538461538462,696.5,921.909090909091,2.62727272727273,3926.53846153846,32.9,20.26,14.52
"DS11-12047",28912.8461538462,2012.23076923077,12,91.0909090909091,120.727272727273,519.538461538462,695.333333333333,918,2.22727272727273,3891.23076923077,31.82,20.7,14.86
"DS11-12048",28913.8461538462,2012.23076923077,12,93.3636363636364,122,519.538461538462,697.333333333333,919.272727272727,1.8,4139.46153846154,31.04,19.92,16.36
"DS11-12049",30160.0833333333,2012.16666666667,12,84.6,121.363636363636,519.666666666667,699.2,917.909090909091,1.25,3680.41666666667,31.9,20.62,15.68
"DS11-12050",30161.0833333333,2012.16666666667,12,75,117.181818181818,519.666666666667,695.25,913.727272727273,1.32,3170,32.34,20.74,15.28
"DS11-12051",28914.8461538462,2012.23076923077,12,95.5454545454545,124.181818181818,519.538461538462,697.666666666667,921.454545454545,2.31818181818182,3907.53846153846,31.42,19.96,15.24
"DS11-12052",28915.8461538462,2012.23076923077,12,91.5454545454545,124.090909090909,519.538461538462,699.333333333333,921.363636363636,1.43636363636364,4418.92307692308,32.46,20.56,16.54
"DS11-12053",28916.8461538462,2012.23076923077,12,92,120.909090909091,519.538461538462,698.166666666667,918.181818181818,1.56363636363636,3951.07692307692,33.06,19.78,14.98
"DS11-12054",30162.0833333333,2012.16666666667,12,87.1,121.454545454545,519.666666666667,699,918,1.18,3936.5,33.46,20,16.74
"DS11-12056",28917.8461538462,2012.23076923077,12,88.3636363636364,121.272727272727,519.538461538462,695.833333333333,918.545454545455,1.85454545454545,3585,33.68,19.96,16.96
"DS11-12057",28918.8461538462,2012.23076923077,12,84.0909090909091,119.181818181818,519.538461538462,696.666666666667,916.454545454545,1.97272727272727,3840.23076923077,30.64,21.12,15.66
"DS11-12058",30163.0833333333,2012.16666666667,12,87.4,118.545454545455,519.666666666667,697.4,915.090909090909,1.11,3836.91666666667,32.38,20.58,15.32
"DS11-12059",28919.8461538462,2012.23076923077,12,98.4545454545455,125.272727272727,519.538461538462,701.833333333333,922.545454545455,1.40909090909091,4415.61538461538,32.78,20.06,16.12
"DS11-12062",28920.8461538462,2012.23076923077,12,95.7272727272727,125.454545454545,519.538461538462,697.166666666667,922.727272727273,2.2,4047.38461538462,32.62,20.04,17.14
"DS11-12063",28921.8461538462,2012.23076923077,12,95.2727272727273,128.636363636364,519.538461538462,698.666666666667,925.909090909091,1.61818181818182,4377.46153846154,33.32,19.62,16.5
"DS11-12065",30164.0833333333,2012.16666666667,12,90.4,117.4,519.666666666667,695.6,914.2,1.71,3677,33.44,20.12,17.78
"DS11-12066",30165.0833333333,2012.16666666667,12,83.8,122.818181818182,519.666666666667,699.2,919.363636363636,1.71,3695.5,31.62,21.18,16.66
"DS11-12068",28922.8461538462,2012.23076923077,12,86.0909090909091,119.090909090909,519.538461538462,697.333333333333,916.363636363636,1.88181818181818,3545,31.12,20.92,14.58
"DS11-12069",30166.0833333333,2012.16666666667,12,76.1,120.818181818182,519.666666666667,698,917.363636363636,1.21,3714.83333333333,30.46,21.3,15.98
"DS11-12070",28923.8461538462,2012.23076923077,12,93.9090909090909,122.181818181818,519.538461538462,699.333333333333,919.454545454545,2.10909090909091,4023.92307692308,32.98,20.36,15.58
"DS11-12071",28924.8461538462,2012.23076923077,12,97.4545454545455,123.363636363636,519.538461538462,697.666666666667,920.636363636364,2.01818181818182,4140.69230769231,33.44,19.64,13.46
"DS11-12072",28925.8461538462,2012.23076923077,12,85.7272727272727,126.636363636364,519.538461538462,696.5,923.909090909091,1.90909090909091,4278.53846153846,31.84,20.9,15.36
"DS11-12073",30167.0833333333,2012.16666666667,12,81.9,121.363636363636,519.666666666667,698,917.909090909091,1.36,4125.25,33.38,19.98,16.62
"DS11-12074",30168.0833333333,2012.16666666667,12,84.6,117.272727272727,519.666666666667,698.4,913.818181818182,1.65,3556.83333333333,33.24,19.54,14.68
"DS11-12075",28926.8461538462,2012.23076923077,12,91,124,519.538461538462,697.166666666667,921.272727272727,1.97272727272727,4394.66666666667,30.2,20.68,14.22
"DS11-12076",28927.8461538462,2012.23076923077,12,100.454545454545,125.272727272727,519.538461538462,696.166666666667,922.545454545455,2.18181818181818,4140.23076923077,31.84,20.7,16.34
"DS11-12077",30169.0833333333,2012.16666666667,12,77.8,119.090909090909,519.666666666667,698.6,915.636363636364,1.31,3718.75,30.24,20.72,16.02
"DS11-12078",28928.8461538462,2012.23076923077,12,99.1818181818182,123.545454545455,519.538461538462,697.333333333333,920.818181818182,1.84545454545455,3851.84615384615,32.12,19.98,16.46
"DS11-12080",28929.8461538462,2012.23076923077,12,87,125.545454545455,519.538461538462,696.666666666667,922.818181818182,1.86363636363636,4274.46153846154,32.5,19.22,15.36
"DS11-12081",28930.8461538462,2012.23076923077,12,83.7272727272727,123.363636363636,519.538461538462,699.5,920.636363636364,1.47272727272727,4106,32.16,20.58,14.2
"DS11-12083",28931.8461538462,2012.23076923077,12,90.2727272727273,122.818181818182,519.538461538462,697.166666666667,920.090909090909,2.09090909090909,4023.15384615385,31.86,20.12,14.48
"DS11-12084",28932.8461538462,2012.23076923077,12,87.1818181818182,121,519.538461538462,698.833333333333,918.6,1.59090909090909,4113.07692307692,32.04,20.64,14.44
"DS11-12085",28933.8461538462,2012.23076923077,12,89.5454545454545,122.727272727273,519.538461538462,697,920,1.60909090909091,4302.15384615385,32.44,20.82,16.26
"DS11-12086",30170.0833333333,2012.16666666667,12,85.2,119.1,519.666666666667,698.4,915.9,1.18,3419.25,31.28,20.7,14.8
"DS11-12104",31750.9090909091,2012.45454545455,12,82,119.888888888889,518.7,697,916.3,1.58,3513.81818181818,32.8666666666667,20.8333333333333,16.1666666666667
"DS11-12105",27614.2222222222,2012.44444444444,12,89,126.25,519.111111111111,697.25,922.125,2.3875,4142.44444444444,32.9666666666667,19.7,16.8666666666667
"DS11-12106",27615.2222222222,2012.44444444444,12,101.625,127.25,519.111111111111,696,923.125,2.45,4069.88888888889,34.2,19.9333333333333,16.3333333333333
"DS11-12107",31751.9090909091,2012.45454545455,12,82.9,116.444444444444,518.7,698,912.9,1.6,3960.90909090909,32.8,19.8333333333333,14.8666666666667
"DS11-12108",27616.2222222222,2012.44444444444,12,97.25,129.375,519.111111111111,696.25,925.25,1.7875,4841.44444444444,32.2666666666667,20.2666666666667,16.7666666666667
"DS11-12110",31752.9090909091,2012.45454545455,12,86,118,518.7,696.8,915,1.53,3922.45454545455,32.7333333333333,20.5,14.2333333333333
"DS11-12111",27617.2222222222,2012.44444444444,12,98.375,128.25,519.111111111111,697,924.125,2.325,4252.22222222222,32.7333333333333,19.7333333333333,16.9333333333333
"DS11-12112",27618.2222222222,2012.44444444444,12,92.125,124.75,519.111111111111,697.2,920.625,1.7875,4455.77777777778,32.6666666666667,19.8333333333333,15.0666666666667
"DS11-12113",27619.2222222222,2012.44444444444,12,85.125,123,519.111111111111,696.75,918.875,1.825,4414.66666666667,33.5,19.7666666666667,16.0333333333333
"DS11-12114",27620.2222222222,2012.44444444444,12,104.5,127.875,519.111111111111,696,923.75,2.35,4142.88888888889,34.4333333333333,19.6,17.6333333333333
"DS11-12115",27621.2222222222,2012.44444444444,12,94.25,128.75,519.111111111111,698,924.625,2.7625,4289.77777777778,33.4,20,16.5666666666667
"DS11-12116",27622.2222222222,2012.44444444444,12,109.125,128.875,519.111111111111,697.75,924.75,2.8875,3888.66666666667,33.7666666666667,19.3333333333333,17.3
"DS11-12118",27623.2222222222,2012.44444444444,12,93.875,127.125,519.111111111111,696.4,923,1.725,4309.77777777778,33.3333333333333,20,16.2333333333333
"DS11-12119",31753.9090909091,2012.45454545455,12,84.1,123.222222222222,518.7,697.6,919.6,1.48,4143.36363636364,32.3333333333333,20.4333333333333,15.4333333333333
"DS11-12121",31754.9090909091,2012.45454545455,12,90.4,123.222222222222,518.7,699.8,919.7,1.6,3965,32.9,19.7333333333333,16.8666666666667
"DS11-12122",31755.9090909091,2012.45454545455,12,93.8,121.444444444444,518.7,697.4,917.7,1.93,3920.18181818182,32.9666666666667,20.8666666666667,15.6666666666667
"DS11-12123",31756.9090909091,2012.45454545455,12,85.6,122.777777777778,518.7,697.8,919.2,1.23,3687,33.8666666666667,19.6333333333333,15.8333333333333
"DS11-12125",31757.9090909091,2012.45454545455,12,100.5,121,518.7,697.4,917.4,1.8,3701.72727272727,32.1,20.5333333333333,17.1333333333333
"DS11-12126",27624.2222222222,2012.44444444444,12,90.875,130.5,519.111111111111,698.75,926.375,2.2625,4191,33.9333333333333,19.7333333333333,18.6666666666667
"DS11-12127",27625.2222222222,2012.44444444444,12,100.875,131.75,519.111111111111,701,927.625,1.95,4337.33333333333,32.3666666666667,20.6,17.1666666666667
"DS11-12129",31758.9090909091,2012.45454545455,12,92.2,125,518.7,699.6,921.4,1.68,4367.72727272727,32.5333333333333,20,16.6
"DS11-12130",31759.9090909091,2012.45454545455,12,97.5,122.666666666667,518.7,699.6,919.1,1.48,4091,33.2333333333333,19.9666666666667,14.4333333333333
"DS11-12132",31760.9090909091,2012.45454545455,12,75.1,123.111111111111,518.7,697,919.4,1.28,3789.09090909091,32.7333333333333,20.5666666666667,17.5333333333333
"DS11-12136",31761.9090909091,2012.45454545455,12,85.6,123.555555555556,518.7,700.6,920.3,1.33,3924.45454545455,32.7666666666667,19.9333333333333,15.2
"DS11-12140",27626.2222222222,2012.44444444444,12,105.125,127.5,519.111111111111,701,923.375,2.625,4264.44444444444,33.8666666666667,19.2,19.3666666666667
"DS11-12142",27627.2222222222,2012.44444444444,12,100.5,125.75,519.111111111111,696.8,921.625,1.45,4368.33333333333,35.3333333333333,18.9,16.8666666666667
"DS11-12143",27628.2222222222,2012.44444444444,12,93.625,129,519.111111111111,698.6,924.875,1.8875,4394.11111111111,33.6333333333333,19.8666666666667,17.1666666666667
"DS11-12146",31762.9090909091,2012.45454545455,12,90.9,123.777777777778,518.7,700.2,920.4,1.7,4058.09090909091,32.5333333333333,20.3666666666667,17.0666666666667
"DS11-12148",31763.9090909091,2012.45454545455,12,95.9,123.222222222222,518.7,698.4,919.9,1.86,3727.45454545455,33,20.0666666666667,17.4333333333333
"DS11-12149",31764.9090909091,2012.45454545455,12,95.6,118.444444444444,518.7,697.8,915.1,1.81,3603.63636363636,33.9,19.7666666666667,15.9
"DS11-12150",31765.9090909091,2012.45454545455,12,78,118.444444444444,518.7,697.6,915,1.43,3574.45454545455,32.5666666666667,20.5,17.1
"DS11-12151",31766.9090909091,2012.45454545455,12,88.1,120.222222222222,518.7,697,916.9,1.38,3857.36363636364,32.9,20.4333333333333,18.7333333333333
"DS11-12153",27629.2222222222,2012.44444444444,12,93.125,125.125,519.111111111111,697.8,921,1.7625,3865.11111111111,34.1,19.8333333333333,16.5666666666667
"DS11-12157",27630.2222222222,2012.44444444444,12,98.25,124.75,519.111111111111,696.5,920.625,1.9125,4184.33333333333,34.6666666666667,19.7333333333333,17.7333333333333
"DS11-12158",31767.9090909091,2012.45454545455,12,90.4,124.666666666667,518.7,698.6,921,1.53,3842.18181818182,34,19.8666666666667,17
"DS11-12159",27631.2222222222,2012.44444444444,12,85,126.125,519.111111111111,696.5,922,1.6375,4163.11111111111,33.6666666666667,19.8666666666667,18.2333333333333
"DS11-12160",31768.9090909091,2012.45454545455,12,94,124.333333333333,518.7,698.8,920.7,1.95,3966,33.6,20.1333333333333,17.6333333333333
"DS11-12161",27632.2222222222,2012.44444444444,12,92.625,126.75,519.111111111111,696.5,922.625,1.44285714285714,4046.88888888889,32.8,20.1666666666667,16.3666666666667
"DS11-12162",31769.9090909091,2012.45454545455,12,81.2,116.111111111111,518.7,696.8,912.8,1.31,3022.18181818182,33.6,20.2333333333333,15.5
"DS11-12164",27633.2222222222,2012.44444444444,12,91.75,128.375,519.111111111111,698.25,924.25,1.2,4121.22222222222,33.9666666666667,19.2333333333333,15.5333333333333
"DS11-12165",27634.2222222222,2012.44444444444,12,95.5,124,519.111111111111,696.4,919.875,2.0125,4111.44444444444,33.6,19.7666666666667,18
"DS11-12166",27635.2222222222,2012.44444444444,12,89.375,127.142857142857,519.111111111111,698.4,923.571428571429,2.3875,4062.44444444444,33.7666666666667,19.3333333333333,18.3
"DS11-12167",27636.2222222222,2012.44444444444,12,93.125,124.375,519.111111111111,698.2,920.25,1.95,4318.88888888889,33.4,20.5333333333333,15.5
"DS11-12168",27637.2222222222,2012.44444444444,12,91,121.375,519.111111111111,696.5,917.25,1.8875,3864.66666666667,33.5,20.5,18.3666666666667
"DS11-12169",31770.9090909091,2012.45454545455,12,81.1,122,518.7,697.6,918.6,1.88,3896.18181818182,34.3,19.3333333333333,15.8333333333333
"DS11-12170",27638.2222222222,2012.44444444444,12,89.375,122.75,519.111111111111,698,918.625,1.6375,3969,32.8,20.6333333333333,17
"DS11-12171",27639.2222222222,2012.44444444444,12,86.875,125.25,519.111111111111,696,921.125,1.7625,3727,33,20.0666666666667,18.4
"DS11-12172",31771.9090909091,2012.45454545455,12,83.6,119.888888888889,518.7,698.2,916.3,1.46,3687.90909090909,32.2333333333333,20.9333333333333,14.6
"DS11-12173",27640.2222222222,2012.44444444444,12,92.625,128.125,519.111111111111,696.4,924,2.35,4304.22222222222,34.4666666666667,18.9666666666667,17.8
"DS11-12174",31772.9090909091,2012.45454545455,12,80.7,122.222222222222,518.7,698.8,918.9,1.33,3963.45454545455,32.7333333333333,19.8333333333333,17.0333333333333
"DS11-12175",27641.2222222222,2012.44444444444,12,92.625,125.5,519.111111111111,697.4,921.375,2.075,4130.22222222222,31.5333333333333,20.5666666666667,16.1666666666667
"DS11-12176",31773.9090909091,2012.45454545455,12,95.4,122,518.7,697.2,918.8,1.93,3408.45454545455,33,20.4333333333333,15.1333333333333
"DS11-12177",31774.9090909091,2012.45454545455,12,91.2,122,518.7,699.2,918.6,1.21,3776.27272727273,34.1,19.4,15.1
"DS11-12178",31775.9090909091,2012.45454545455,12,90.5,119.888888888889,518.7,696.8,916.3,1.73,3627.54545454545,32.3333333333333,20.7,15.4666666666667
"DS11-12180",31776.9090909091,2012.45454545455,12,95.7,122.666666666667,518.7,700,919,1.74,3916.09090909091,32.9666666666667,19.6333333333333,17.4
"DS11-12181",31777.9090909091,2012.45454545455,12,74.5,121.444444444444,518.7,698.2,918,1.36,3759.27272727273,33.1,19.8666666666667,15.5
"DS11-12183",27642.2222222222,2012.44444444444,12,90.875,124.625,519.111111111111,699.25,920.5,1.5125,3965.66666666667,33,20.9,15.9
"DS11-12184",27643.2222222222,2012.44444444444,12,89.875,124.25,519.111111111111,698.75,920.125,1.325,3924.77777777778,32.8666666666667,20.3333333333333,17.4333333333333
"DS11-12185",27644.2222222222,2012.44444444444,12,101.5,126.875,519.111111111111,698.75,922.75,2.4125,4455.66666666667,33.5666666666667,18.8,16.3666666666667
"DS11-12187",27645.2222222222,2012.44444444444,12,107.375,129.5,519.111111111111,698.8,925.375,2.6375,3711.77777777778,34.7333333333333,19.1333333333333,16.5
"DS11-12188",31778.9090909091,2012.45454545455,12,81.2,123.222222222222,518.7,697.6,919.8,1.46,3766.27272727273,33.8333333333333,19.7666666666667,17.2
"DS11-12189",31779.9090909091,2012.45454545455,12,87.2,124,518.7,700.2,920.5,1.7,3448.54545454545,32.1,21.2666666666667,15.8333333333333
"DS11-12191",31780.9090909091,2012.45454545455,12,79.5,119.444444444444,518.7,697.8,916,1.21,3599.81818181818,33.1,20.2666666666667,14.2666666666667
"DS11-12192",31781.9090909091,2012.45454545455,12,93.9,125.222222222222,518.7,699.2,921.5,1.65,4022.63636363636,32.3333333333333,21.0666666666667,16.1333333333333
"DS11-12193",27646.2222222222,2012.44444444444,12,100.75,127.625,519.111111111111,698.4,923.5,2.225,4230.33333333333,33.1666666666667,20.3333333333333,16.1666666666667
"DS11-12194",27647.2222222222,2012.44444444444,12,93.125,126.625,519.111111111111,695.75,922.5,2.075,4447.77777777778,33.4,19.7333333333333,17.0333333333333
"DS11-12196",31782.9090909091,2012.45454545455,12,79.6,120.333333333333,518.7,697,917.2,1.43,3740,32.8666666666667,19.7,17.0666666666667
"DS11-12197",27648.2222222222,2012.44444444444,12,104.375,129.875,519.111111111111,698.75,925.75,1.6375,4433.11111111111,31.3,20.9666666666667,17.4333333333333
"DS11-12201",31783.9090909091,2012.45454545455,12,93.7,123.777777777778,518.7,697.8,920.3,1.68,4097.54545454545,33.0333333333333,19.2,15.9333333333333
"DS11-12204",31784.9090909091,2012.45454545455,12,96,123.777777777778,518.7,698.4,920.2,1.78,3486.81818181818,33.8666666666667,20.4,19.3333333333333
"DS11-13003",29031,2012.25,13,97.5454545454545,127.545454545455,519.833333333333,697.5,924.181818181818,1.70909090909091,4246.08333333333,32.4,20.5333333333333,17.05
"DS11-13005",29032,2012.25,13,97.7,130,519.833333333333,699.5,924.2,1.85,4358.90909090909,34.3,18.8666666666667,17.05
"DS11-13008",29033,2012.25,13,105.545454545455,128.545454545455,519.833333333333,701,925.181818181818,1.70909090909091,3903.33333333333,34.0666666666667,19.3166666666667,17
"DS11-13009",29034,2012.25,13,89.7272727272727,127.090909090909,519.833333333333,702,923.727272727273,2.14545454545455,4072.66666666667,33.1166666666667,19.5166666666667,15.6833333333333
"DS11-13010",29035,2012.25,13,97.9090909090909,123.727272727273,519.833333333333,699.25,920.363636363636,1.69090909090909,3961.66666666667,32.0833333333333,20.1666666666667,17.6666666666667
"DS11-13012",29036,2012.25,13,99.2727272727273,133,519.833333333333,702.75,929.636363636364,1.77272727272727,3924.75,32.2833333333333,19.6333333333333,16.3166666666667
"DS11-13013",29037,2012.25,13,97.2727272727273,132.545454545455,519.833333333333,698.5,929.181818181818,1.57272727272727,4131.91666666667,33.3833333333333,18.9666666666667,15.9166666666667
"DS11-13014",29038,2012.25,13,92.8181818181818,126.636363636364,519.833333333333,700,923.272727272727,1.89090909090909,4051.58333333333,32.95,20.05,16.7833333333333
"DS11-13016",29039,2012.25,13,94.4,130.4,519.833333333333,700.5,924.6,2.5,3941.45454545455,33.4333333333333,19.1,15.15
"DS11-13017",29040,2012.25,13,112.909090909091,130.727272727273,519.833333333333,701.75,927.363636363636,2.16363636363636,3712.5,33.75,19.1833333333333,15.4333333333333
"DS11-13018",29041,2012.25,13,92.9090909090909,127.090909090909,519.833333333333,700.5,923.727272727273,1.82727272727273,4215.5,32.9333333333333,19.6166666666667,14.9
"DS11-13019",29042,2012.25,13,101.454545454545,128.818181818182,519.833333333333,700.75,925.454545454545,1.72727272727273,3857.25,33.5833333333333,19.8833333333333,15.3166666666667
"DS11-13020",29043,2012.25,13,98.2727272727273,131,519.833333333333,700.25,927.636363636364,1.32727272727273,4202.83333333333,34.1166666666667,19.4666666666667,16.9166666666667
"DS11-13021",29044,2012.25,13,88.9090909090909,133.636363636364,519.833333333333,701,930.272727272727,1.41818181818182,3995.08333333333,34.5,18.2833333333333,14.7333333333333
"DS11-13022",29045,2012.25,13,104.5,132.2,519.833333333333,702.75,926.4,2.55,3922.45454545455,33.75,19.2666666666667,16.1
"DS11-13023",29046,2012.25,13,95.7272727272727,131.545454545455,519.833333333333,701,928.181818181818,1.64545454545455,4137,32.85,19.5,17.05
"DS11-13024",29047,2012.25,13,115.636363636364,133,519.833333333333,702.75,929.636363636364,2.02727272727273,3832.66666666667,32.7333333333333,19.6166666666667,15
"DS11-13026",29048,2012.25,13,102.272727272727,130.454545454545,519.833333333333,700,927.090909090909,1.84545454545455,4280.5,33.15,19.2,15.75
"DS11-13027",29049,2012.25,13,100,128,519.833333333333,699,924.636363636364,1.52727272727273,4137.25,32.5,20.25,17.5
"DS11-13028",29050,2012.25,13,96.4545454545455,131.454545454545,519.833333333333,699.5,928.090909090909,1.39090909090909,4076.91666666667,31.8,19.1833333333333,15.4
"DS11-13029",29051,2012.25,13,98.2727272727273,133.090909090909,519.833333333333,702,929.727272727273,1.37272727272727,3952.58333333333,33.6666666666667,19.05,15.7166666666667
"DS11-13030",29052,2012.25,13,100.636363636364,129.909090909091,519.833333333333,700.5,926.545454545455,1.75454545454545,4045.83333333333,32.7666666666667,19.0166666666667,16.15
"DS11-13031",29053,2012.25,13,90.3636363636364,124.636363636364,519.833333333333,701.25,921.272727272727,1.75454545454545,3935.41666666667,33.15,19.5333333333333,17.1333333333333
"DS11-13032",29054,2012.25,13,109.454545454545,129.545454545455,519.833333333333,702.25,926.181818181818,2.27272727272727,3891.91666666667,32.6833333333333,18.9166666666667,15.5166666666667
"DS11-13033",29055,2012.25,13,111.090909090909,132.090909090909,519.833333333333,700.25,928.727272727273,2.29090909090909,4092.16666666667,33.1166666666667,19.1333333333333,16.1166666666667
"DS11-13035",29056,2012.25,13,109.090909090909,131.818181818182,519.833333333333,699,928.454545454545,1.90909090909091,4170.16666666667,33.4666666666667,18.6833333333333,18.1333333333333
"DS11-13037",29057,2012.25,13,96.6363636363636,130.181818181818,519.833333333333,698.25,926.818181818182,1.41818181818182,3858.91666666667,33.75,19.4166666666667,16.3333333333333
"DS11-13038",29058,2012.25,13,99.7272727272727,129.363636363636,519.833333333333,703.25,926,1.46363636363636,3920.16666666667,32.75,19.65,14.9166666666667
"DS11-13040",29059,2012.25,13,107.727272727273,134.181818181818,519.833333333333,701.25,930.818181818182,1.96363636363636,3961.25,33.05,19.3166666666667,14.75
"DS11-13041",29060,2012.25,13,111.272727272727,129.363636363636,519.833333333333,699.5,926,1.57272727272727,3814.25,34.1166666666667,19.3166666666667,17.0666666666667
"DS11-13043",29061,2012.25,13,92.6,132.4,519.833333333333,698.5,926.6,1.35,3991.09090909091,32.6833333333333,19.95,16.85
"DS11-13044",29062,2012.25,13,101.363636363636,127.909090909091,519.833333333333,699,924.545454545455,1.70909090909091,4448.75,33.1333333333333,20.2,16.8333333333333
"DS11-13045",29063,2012.25,13,101.454545454545,125.090909090909,519.833333333333,697.75,921.727272727273,1.41818181818182,4022.58333333333,32.6166666666667,19.8,16.0333333333333
"DS11-13047",29064,2012.25,13,103.818181818182,128.545454545455,519.833333333333,700,925.181818181818,1.57272727272727,4048.09090909091,33.08,20.12,17.4
"DS11-13048",29065,2012.25,13,103.454545454545,127,519.833333333333,698.75,923.636363636364,2.5,3816.41666666667,32.7166666666667,19.4833333333333,14.85
"DS11-13050",29557.3333333333,2012.25,13,110.3,132.888888888889,519.333333333333,701.8,930.444444444444,2.01,3897.75,33.46,18.96,17.72
"DS11-13051",29558.3333333333,2012.25,13,98.1,130.7,519.333333333333,703.75,927.9,1.63,3629.41666666667,33.7,19.7,14.32
"DS11-13052",29559.3333333333,2012.25,13,100.7,127.555555555556,519.333333333333,704,925.111111111111,1.41,3968,34.22,19.66,15.82
"DS11-13053",29560.3333333333,2012.25,13,95.6,130.666666666667,519.333333333333,702.6,928.222222222222,1.46,4071.5,32.92,20.12,16.64
"DS11-13054",29561.3333333333,2012.25,13,77.6,127.4,519.333333333333,699.6,924.6,1.21,3671.33333333333,32.88,19.98,15.6
"DS11-13055",29562.3333333333,2012.25,13,99.4,132,519.333333333333,701.4,929.555555555556,2.01,3592.72727272727,32.68,19.5,15.82
"DS11-13056",29563.3333333333,2012.25,13,88.6,132.9,519.333333333333,703.8,930.1,1.76,3831.08333333333,32.4,19.8,16.68
"DS11-13057",29564.3333333333,2012.25,13,98.5,127,519.333333333333,699.8,924.2,1.91,3864,33.12,19.78,16.52
"DS11-13058",29565.3333333333,2012.25,13,86,127.1,519.333333333333,700,924.3,1.23,3817.66666666667,33,19.86,14.14
"DS11-13060",29566.3333333333,2012.25,13,109.7,132.8,519.333333333333,702.4,930,2.05,3948.83333333333,32.98,19.62,15.98
"DS11-13061",29567.3333333333,2012.25,13,88.7,134.8,519.333333333333,703.2,932,1.31,3860.63636363636,34.1,18.52,15
"DS11-13062",29568.3333333333,2012.25,13,99.2,129.5,519.333333333333,703.4,926.7,1.41,3750,33.6,19.8,17.54
"DS11-13063",29569.3333333333,2012.25,13,103.5,132.4,519.333333333333,700.8,929.6,1.56,3938.75,33.7,19.28,16.78
"DS11-13064",29570.3333333333,2012.25,13,103.7,132.2,519.333333333333,705.25,929.4,2.06,3870,32.64,19.64,16.12
"DS11-13065",29571.3333333333,2012.25,13,101.6,131.9,519.333333333333,701.8,929.1,2.06,3989.83333333333,33.32,19.74,15.6
"DS11-13066",29572.3333333333,2012.25,13,97.4,132.7,519.333333333333,705.25,929.9,1.43,3957.66666666667,34.06,19,17.08
"DS11-13067",29573.3333333333,2012.25,13,97.4,128.7,519.333333333333,700.2,925.9,1.38,3924.83333333333,34.5,18.98,16.68
"DS11-13068",29574.3333333333,2012.25,13,95.1,129.8,519.333333333333,700.4,927,1.31,3803.58333333333,33.2,19.98,17.16
