PC	eigenvalue	proportion of total	cumulative proportion
179	1.24363	0.0029	0.79429
180	1.2363	0.00289	0.79718
181	1.23021	0.00287	0.80005
182	0.53413	0.00125	0.8013
183	0.53963	0.00126	0.80256
184	0.54767	0.00128	0.80384
185	1.21801	0.00284	0.80668
186	1.21002	0.00283	0.80951
187	1.21274	0.00283	0.81234
188	1.20373	0.00281	0.81515
189	1.19642	0.00279	0.81795
190	1.18946	0.00278	0.82073
191	1.18774	0.00277	0.8235
192	1.18301	0.00276	0.82626
193	1.17657	0.00275	0.82901
194	0.56182	0.00131	0.83032
195	0.56552	0.00132	0.83165
196	0.56655	0.00132	0.83297
197	0.5701	0.00133	0.8343
198	0.58632	0.00137	0.83567
199	0.58389	0.00136	0.83703
200	0.58248	0.00136	0.83839
201	0.59785	0.0014	0.83979
202	1.15761	0.0027	0.84249
203	1.16103	0.00271	0.84521
204	1.13889	0.00266	0.84787
205	1.13193	0.00264	0.85051
206	1.12768	0.00263	0.85314
207	1.11959	0.00262	0.85576
208	1.10917	0.00259	0.85835
209	1.10537	0.00258	0.86093
210	0.61895	0.00145	0.86238
211	0.62341	0.00146	0.86383
212	0.6267	0.00146	0.8653
213	0.63187	0.00148	0.86677
214	0.64347	0.0015	0.86828
215	0.64455	0.00151	0.86978
216	1.08958	0.00254	0.87233
217	1.08618	0.00254	0.87486
218	1.08246	0.00253	0.87739
219	1.07516	0.00251	0.8799
220	0.66034	0.00154	0.88144
221	0.66698	0.00156	0.883
222	0.67212	0.00157	0.88457
223	0.67622	0.00158	0.88615
224	0.68482	0.0016	0.88775
225	0.68642	0.0016	0.88935
226	0.6946	0.00162	0.89098
227	0.6984	0.00163	0.89261
228	1.06168	0.00248	0.89509
229	0.71019	0.00166	0.89675
230	0.71367	0.00167	0.89841
231	0.72007	0.00168	0.9001
232	0.7274	0.0017	0.90179
233	1.05326	0.00246	0.90425
234	1.04635	0.00244	0.9067
235	1.03778	0.00242	0.90912
236	1.03268	0.00241	0.91153
237	0.7342	0.00171	0.91325
238	1.02154	0.00239	0.91564
239	1.01651	0.00237	0.91801
240	1.01409	0.00237	0.92038
241	0.74462	0.00174	0.92212
242	0.74808	0.00175	0.92386
243	0.75324	0.00176	0.92562
244	0.76495	0.00179	0.92741
