Trait	# groups	Compression	-2LnLk	Var_genetic	Var_error
EarHT	279	1.0	2333.9619552539257	136.56960169038288	114.50731726432376
EarHT	267	1.0449438202247192	2333.451888468975	137.00697691494037	116.29125119097134
EarHT	262	1.0648854961832062	2332.2580399369763	142.5626367434146	110.38094781740368
EarHT	257	1.0856031128404668	2330.9367460204708	145.62155178730657	107.69172493176724
EarHT	252	1.1071428571428572	2329.03947760427	152.7448679420274	100.55437387321942
EarHT	247	1.1295546558704452	2334.0254995039604	129.39652507608278	131.57538906994245
EarHT	242	1.1528925619834711	2331.2022400648625	139.76800073844908	119.9613366082716
EarHT	237	1.1772151898734178	2331.562881489064	136.3610049273041	126.24429701855259
EarHT	232	1.2025862068965518	2336.787115867966	107.63546634380316	163.78942967672944
EarHT	227	1.2290748898678414	2336.7305506455564	106.92794369768555	166.8489426589573
EarHT	223	1.251121076233184	2335.861671750519	108.7084252221106	165.96476380571946
EarHT	218	1.2798165137614679	2334.8740071742877	111.38786334565381	164.55160445329713
EarHT	214	1.3037383177570094	2338.000317783375	101.94868466612955	179.44999530134274
EarHT	210	1.3285714285714285	2337.386093641449	101.01685718001426	181.71002709063282
EarHT	206	1.354368932038835	2336.223751235104	103.75664447773067	180.05236439255512
EarHT	201	1.3880597014925373	2335.1089058669622	106.83969230689272	177.96986937612343
EarHT	197	1.416243654822335	2337.2375356889356	102.4148984057243	186.66749762422415
EarHT	193	1.4455958549222798	2335.8983938405145	105.69182241931534	184.40056595011353
EarHT	190	1.4684210526315788	2335.8748683419662	106.70497088711583	184.98058139403346
EarHT	186	1.5	2337.0334869581934	102.94496911294421	191.69525351230726
EarHT	182	1.532967032967033	2336.4020838097463	104.9644032828577	191.5231635531612
EarHT	178	1.5674157303370786	2335.7335201376764	107.60477460001574	190.58965907309263
EarHT	175	1.5942857142857143	2336.954625514134	105.18786046541128	195.3860876649431
EarHT	171	1.631578947368421	2337.0262928475418	99.35799980326443	202.89490111972577
EarHT	168	1.6607142857142858	2337.6726182993243	98.5059818465744	205.9071416696054
EarHT	164	1.701219512195122	2337.3298147171076	100.36569167660157	206.08030175743437
EarHT	161	1.7329192546583851	2336.092092240455	103.21053073965015	204.25363389585317
EarHT	158	1.7658227848101267	2335.328873792908	105.56791158970445	203.3256906373172
EarHT	155	1.8	2335.318839139015	103.34378575884162	206.54736310826436
EarHT	152	1.8355263157894737	2335.958595169183	101.71894051823388	209.95375796424926
